TotalPop,Female,Male,Asian,NonHispA,White,NonHispW,Am_Indian,Hawaii_PI,TotalHisp,NonHispB,Black,OtherRace,Bachelor,Associate,Master,HighSch,College,9_12Grade,Less9Grade,25_Older,Pop5Plus,CashAssis,BelowPover,MedianInco,Unemployed,BornForeig,ArmedForce,WithChild,Married,Profession,insurance,Disabili,NAME,state,county,tract
4224,1996,2228,545,545,2441,1984,0,0,1340,213,213,536,1000,172,329,253,1122,48,26,3150,4058,22,133,87995,177,913,459,242,1449,1393,3470,550,Census Tract 93.08; San Diego County; California,6,73,9308
4529,1204,3325,126,126,2238,1944,48,7,1402,719,754,568,252,185,143,186,350,8,0,1158,4238,25,144,86774,21,307,2682,415,1017,161,1571,134,Census Tract 94; San Diego County; California,6,73,9400
4133,2006,2127,641,641,2510,2322,27,0,647,150,150,144,1078,259,588,227,539,28,22,2928,3671,56,101,137218,113,756,73,537,2051,1313,3962,336,Census Tract 95.02; San Diego County; California,6,73,9502
6178,3067,3111,1520,1520,3524,3409,0,0,785,148,170,60,1501,183,1104,443,494,19,20,4463,5780,136,216,250001,31,1181,142,718,3698,1736,5976,699,Census Tract 95.04; San Diego County; California,6,73,9504
6159,3417,2742,1160,1160,4231,4024,0,0,707,124,124,62,1896,457,922,510,731,102,30,4978,5925,148,327,111890,165,1436,72,587,3384,1961,6022,791,Census Tract 95.05; San Diego County; California,6,73,9505
4582,2433,2149,440,440,3083,2807,33,19,721,86,86,305,1018,196,761,321,568,22,24,3201,4237,80,199,154250,134,819,46,611,2195,1409,4418,387,Census Tract 95.06; San Diego County; California,6,73,9506
3934,1973,1961,425,357,2627,2443,11,18,757,138,138,159,990,110,426,321,496,38,14,2796,3604,61,199,113875,70,830,83,505,1609,1253,3785,374,Census Tract 95.07; San Diego County; California,6,73,9507
5744,2786,2958,597,574,2992,2857,0,0,1214,799,1068,769,1458,341,466,265,875,119,25,3977,5284,226,131,105272,93,1054,430,512,2070,1778,5035,404,Census Tract 95.09; San Diego County; California,6,73,9509
4752,2371,2381,39,39,3309,2379,42,13,1656,321,321,347,353,209,165,676,807,11,0,2261,3771,28,534,57759,59,229,978,1025,2367,229,3747,257,Census Tract 95.10; San Diego County; California,6,73,9510
4283,2304,1979,141,134,2743,2044,7,0,1214,603,603,117,307,276,263,240,588,39,0,1719,3546,87,360,69087,16,230,715,875,1838,334,3561,109,Census Tract 95.11; San Diego County; California,6,73,9511
